timestamp,open,high,low,close,volume
2026-09-01T09:15,330,331,329,330,100
2026-09-01T09:20,330,332,329,331,120
2026-09-01T09:25,331,333,330,332,140
2026-09-01T09:30,332,334,331,333,160
2026-09-01T09:35,333,335,332,334,180
2026-09-01T09:40,334,336,333,335,200
2026-09-01T09:45,335,337,334,336,220
2026-09-01T09:50,336,338,335,337,240
2026-09-01T09:55,337,339,336,338,260
2026-09-01T10:00,338,340,337,339,280
2026-09-01T10:05,339,341,338,340,300
2026-09-01T10:10,340,342,339,341,320
2026-09-01T10:15,341,343,340,342,340
2026-09-01T10:20,342,344,341,341,330
2026-09-01T10:25,341,343,340,339,320
2026-09-01T10:30,339,341,338,337,300
2026-09-01T10:35,337,339,336,335,280
2026-09-01T10:40,335,337,334,333,260
2026-09-01T10:45,333,335,332,331,240
2026-09-01T10:50,331,333,330,329,220
2026-09-01T10:55,329,331,328,327,200
2026-09-01T11:00,327,329,326,325,180
